#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
ASV_28	0	0	0	0	0	0	0	0	694	0	0	0	24	0	0	4	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	11	0	0	0	0	0	0	72	26	14	16	11	43	44	44	0	17	16	0	0	0	101	99	403	0	0	0	0	0	0	0	0	0
ASV_30	3	126	282	282	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	553	0	0	0	0	218	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	7	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	80	73	255	99	114	0	31	19	175
ASV_33	201	0	3	6	0	32	9	582	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	31	0	0	0	0	0	0	0	31	43	0	11	0	0	0	338	0	0	13	0	0	0	0	281	0	0	0	0	0	0	0	0	0	88
ASV_35	0	0	35	180	327	173	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	117	39	7	47	39	0	0	0	0	39	31	0	102	0	79	263	0	0	0	8	0	0	0	0
ASV_37	0	0	230	390	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	0	0	0	0	0	0	68	106	30	20	0	25	70	27	0	13	37	10	10	0	188	19	135	0	0	0	0	0	0	0	0	0
ASV_39	111	0	211	54	185	102	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	46	40	89	0	0	0	0	0	0	95	258	186	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	118	50	56	37	0	19	9	0	0	9	5	9	15	0	14	4	367	0	0	0	0	0	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	261	114	0	68	0	0	0	0	0	87	61	0	0	0	45	55	0	0	0	0	0	0	0	0	0	0
ASV_43	241	0	10	14	32	139	196	17	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	14	49	0	16	49	0	30	15	0	0	17	0	0	0	114	130	41	29	21	16	14	45	19	14	36	10
ASV_45	0	0	0	0	0	0	0	0	9	21	0	0	53	0	0	11	0	0	6	0	0	0	45	45	37	59	27	23	36	29	41	35	126	28
ASV_46	0	0	0	0	0	0	0	0	361	0	0	0	0	0	17	0	0	192	0	0	0	0	27	0	26	0	0	0	0	0	0	0	0	0
ASV_47	0	0	0	0	0	0	0	0	8	134	0	19	0	65	27	0	0	0	34	0	0	0	99	3	228	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	13	5	0	0	0	0	0	0	12	35	531
